smiles,electron_aff
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,2.0599
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,3.4595
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,2.775
*c1ccc(CC(F)(F)C(*)(F)F)s1,1.8781
*CC(=O)NC(*)=S,2.9562
*CNON*,0.9652
*CC(=S)NO*,2.2076
*C(F)C(*)(F)F,1.524
*CC(=O)Nc1ccc(*)s1,1.3272
*CCc1ccc(O*)cc1,0.7536
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.0787
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.8418
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.4936
*Nc1ccc(C(=O)O*)s1,2.6486
*c1cccc(*)n1,2.2143
*Nc1ccc(Nc2ccc(*)s2)s1,1.4393
*Nc1ccc(NC(*)=S)s1,2.2133
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,2.4129
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,2.6224
*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,3.7067
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,3.8901
*NOC(=O)O*,1.6985
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,2.1866
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.9491
*c1ccc(-c2ccc(*)s2)s1,2.9681
*NC(=O)Nc1ccc(*)s1,1.6045
*CC(=O)c1ccc(C(*)=S)cc1,3.7473
*CNC(=S)C(*)=O,3.7481
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,3.6543
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,2.9191
*CCC(=O)O*,0.7562
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,3.0211
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,2.752
*NC(=S)NC(*)=S,4.2115
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,2.3815
*Nc1ccc(C(=O)c2ccc(*)s2)s1,3.0129
*OC(F)(F)C(=S)C(*)(F)F,4.3264
*Nc1ccc(OC(*)=S)s1,2.3032
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.9199
*CC(=S)c1ccc(O*)s1,3.131
*CC(=O)CO*,1.6393
*C(=S)C(F)(F)NC(*)(F)F,4.6097
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,2.7059
*Cc1ccc(Oc2ccc(*)s2)s1,1.2199
*C(=O)NC(F)(F)C(*)(F)F,2.4953
*OC(=S)c1ccc(C(*)=O)cc1,3.4955
*CCNc1ccc(*)cc1,0.6326
*Cc1ccc(C(=S)c2ccc(*)s2)s1,3.3843
*Oc1ccc(OC(*)=O)s1,1.7594
*c1ccc(*)cc1,2.6013
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,2.9311
*c1ccc(C(F)(F)CC(*)(F)F)cc1,1.9565
*NC(=S)C(=O)O*,4.0646
*CC(=O)c1ccc(O*)s1,2.4711
*CCCCCCNC(=S)Nc1ccc(NC(=S)N*)cc1,1.6869
*NC(F)(F)NC(*)(F)F,1.6576
*Cc1ccc(Nc2ccc(*)s2)cc1,0.9705
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,4.1531
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,3.0398
*Cc1ccc(C(=O)C(*)=S)s1,3.3428
*COC(=S)O*,2.0771
*C(=S)C(=O)C(F)(F)C(*)(F)F,5.1438
*Oc1ccc(C(F)(F)C(*)(F)F)s1,1.9642
*CC(=S)c1ccc(N*)cc1,3.0309
*CNc1ccc(N*)cc1,0.54
*OC(=S)OC(*)=O,3.1486
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.9547
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,3.7335
*C(=O)c1ccc(Oc2ccc(*)s2)s1,2.882
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,2.4015
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,2.1082
*COc1ccc(O*)cc1,0.9466
*NC(=S)NO*,2.2894
*CCCCCS*,0.5118
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,1.8885
*CNCC(*)=O,1.6269
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.2723
*CCOC(=O)NCCOCCOCCNC(=O)O*,0.573
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,3.1722
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,4.0693
*Cc1ccc(C(=S)O*)s1,2.9654
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.4093
*Cc1ccc(CC(*)=S)s1,2.588
*CCCc1ccc(*)cc1,0.9937
*CC(=S)c1ccc(C(*)=S)s1,2.8676
*Cc1ccc(C(=O)O*)s1,2.358
*NC(=O)NO*,1.9635
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,3.3026
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,3.7613
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,2.4773
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.4911
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.8498
*CNCN*,0.8689
*Nc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.5787
*Cc1ccc(OC(*)=S)cc1,2.2773
*CC(=O)Cc1ccc(*)s1,1.6069
*CC(=O)Oc1ccc(*)s1,1.4534
*NCNC(=O)OC(=O)NC(*)=O,1.6859
*NC(=O)NC(*)=O,2.041
*NC(=O)NC(*)=S,3.7029
*NC(=O)c1ccc(C(*)=S)cc1,3.4516
*NC(=O)c1ccc(C(*)=S)s1,3.7504
*CONO*,0.421
*CNc1ccc(C(*)=O)s1,2.2797
*CCCC(*)=O,1.2346
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)s2)s1,2.5399
*NC(=O)C(=S)c1ccc(*)s1,3.9034
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,3.2177
*NOC(=S)O*,2.7178
*OC(F)(F)c1ccc(C(*)(F)F)cc1,2.1427
*NC(=O)OC(*)=O,2.561
*CCOC(=S)NC(=S)c1ccc(N*)cc1,2.6209
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.9244
*C(=O)C(F)(F)NC(*)(F)F,3.7985
*Nc1ccc(-c2ccc(C(*)=S)cc2)s1,2.3374
*Cc1ccc(OC(*)=S)s1,2.3956
*Cc1ccc(-c2ccc(N*)cc2)cc1,1.1363
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.755
*CCNC(*)=S,1.6837
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.3503
*NC(=S)Nc1ccc(*)cc1,2.0356
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,3.0595
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.7487
*CC(=O)O*,1.2063
*CNC(=O)NCOCO*,0.7808
*c1ccc(C(F)(F)NC(*)(F)F)cc1,2.1641
*CCCO*,0.5672
*Cc1ccc(NC(*)=S)s1,2.0497
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,3.0683
*CCCN*,0.5296
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.8128
*Oc1ccc(CC(*)=O)cc1,1.5033
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,3.6267
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,2.9183
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.6442
*OC(F)(F)c1ccc(C(*)(F)F)s1,2.3901
*NC(=O)c1ccc(-c2ccc(*)cc2)s1,2.6235
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,3.2944
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,2.9023
*CNc1ccc(O*)s1,0.8203
*CCc1ccc(-c2ccc(*)cc2)cc1,1.482
*CNCc1ccc(*)cc1,1.2974
*CC(=S)C(=O)O*,3.8755
*OC(=O)OC(*)=O,2.3361
*CCc1ccc(-c2ccc(*)s2)cc1,1.6982
*NC(=O)OC(*)=S,3.7701
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.5606
*c1ccc(OC(=S)c2ccc(*)s2)cc1,3.1094
*C(=O)c1ccc(C(=O)C(*)=S)s1,4.6396
*C(=O)c1ccc(OC(*)=S)s1,3.2522
*NC(=O)C(=S)C(*)=O,5.1781
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,3.6994
*NCC(F)(F)C(*)(F)F,0.6587
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.1795
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,1.5146
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,2.3351
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,2.2298
*CNC(=O)ONC(=O)NO*,1.4002
*Cc1ccc(CC(*)=S)cc1,2.6743
*C(=S)CC(F)(F)C(*)(F)F,3.5657
*OC(=O)C(F)(F)C(*)(F)F,2.9195
*Cc1ccc(Nc2ccc(*)s2)s1,1.1194
*CNCO*,0.7624
*NC(F)(F)CC(*)(F)F,1.3115
*CNc1ccc(N*)s1,0.5629
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,2.0751
*OC1C(CO)OC(*)C(O)C1O,0.8344
*CC(=O)NC(*)=O,1.5835
*CC(*)(F)F,1.1415
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.6696
*OC(=O)C(=S)C(*)=O,5.1004
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,0.7602
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,2.336
*C(=O)Oc1ccc(C(*)=S)s1,3.8482
*CNC(=O)c1ccc(*)s1,1.968
*c1ccc(NC(F)(F)C(*)(F)F)s1,1.8646
*CC(=O)OC(*)=S,3.1169
*C(=O)c1ccc(C(=O)C(*)=S)cc1,3.783
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,1.812
*Nc1ccc(C(=O)C(*)=S)s1,4.1937
*CCc1ccc(-c2ccc(*)s2)s1,1.9411
*CC(*)F,0.874
*Cc1ccc(NC(*)=S)cc1,2.0656
*C(=O)C(F)(F)C(=O)C(*)(F)F,4.1382
*CNc1ccc(-c2ccc(*)s2)cc1,1.292
*Nc1ccc(Nc2ccc(*)s2)cc1,1.0698
*OC(=S)C(F)(F)C(*)(F)F,3.6605
*CNC(=O)C(*)=S,4.0732
*CC(=S)c1ccc(O*)cc1,3.1915
*NC(=O)Oc1ccc(*)cc1,1.3447
*CNOC(*)=S,2.5
*CC(*)C,0.4343
*C(=S)OC(=S)c1ccc(*)s1,4.0075
*Cc1ccc(C(=O)N*)cc1,1.8315
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.9075
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.1922
*CCCCCC(=O)O*,0.5062
*CNCNC(=O)NC(=O)N*,0.7092
*CNc1ccc(O*)cc1,0.7695
*C(=S)C(F)(F)CC(*)(F)F,4.3183
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.4594
*CNc1ccc(C(*)=S)s1,2.9244
*CC(O*)C(F)(F)F,0.7546
*c1ccc(CC(F)(F)C(*)(F)F)cc1,1.7485
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)s2)s1,2.7568
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,2.314
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8331
*Cc1ccc(C(=S)O*)cc1,2.8319
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,2.7321
*OC(F)(F)NC(*)(F)F,0.9184
*CCC(=O)C(*)=S,3.1911
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,1.7411
*NC(=O)c1ccc(C(*)=O)s1,3.408
*OCC(F)(F)C(*)(F)F,0.6148
*CC(=O)C(=S)c1ccc(*)s1,3.7805
*OC(F)(F)CC(*)(F)F,0.7292
*CC(=O)N*,0.7672
*Cc1ccc(NO*)s1,1.3873
*CC(=O)CC(*)=S,3.0632
*CCc1ccc(O*)s1,0.6627
*CC(=O)c1ccc(C(*)=S)s1,3.6254
*CNc1ccc(-c2ccc(*)cc2)s1,1.6671
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,4.1032
*CC(=O)CC(*)=O,1.5258
*NC(=S)c1ccc(O*)cc1,2.5935
*Nc1ccc(OC(*)=S)cc1,2.1606
*CCNc1ccc(*)s1,0.6915
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,2.4618
*CC(=O)C(=S)C(*)=O,4.8698
*NC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)s1,2.5831
