smiles,ionization_energy
*CCc1ccc(O*)cc1,5.6727
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.8483
*Cc1ccc(C(=O)O*)cc1,7.179
*C(=O)c1ccc(C(=O)C(*)=S)s1,6.8471
*c1ccc(C(F)(F)NC(*)(F)F)s1,7.3853
*CCCC(*)=S,5.7881
*NC(=S)Nc1ccc(Cc2ccc(*)cc2)cc1,5.378
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)cc1,6.162
*CC(=O)Nc1ccc(*)s1,5.8021
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.6406
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,6.2005
*Cc1ccc(CO*)cc1,6.5689
*Nc1ccc(C(=O)C(*)=S)cc1,6.3689
*CNOc1ccc(*)s1,5.578
*Nc1ccc(NC(=O)NONC(*)=O)s1,5.6948
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,5.7652
*Cc1ccc(NC(*)=S)cc1,5.8355
*CO*,7.5826
*C(=S)OC(=S)c1ccc(*)cc1,6.5598
*Sc1ccc(*)cc1,6.1739
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,5.6338
*c1ccc(-c2ccc(*)s2)s1,4.5257
*CONO*,7.0389
*NC(=O)C(=S)c1ccc(*)s1,6.6147
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.1385
*OC(=O)c1ccc(C(*)=O)cc1,7.8184
*CNC(=S)c1ccc(*)s1,5.8964
*Nc1ccc(Nc2ccc(*)s2)cc1,4.9639
*CC(=S)c1ccc(O*)s1,5.946
*Nc1ccc(C(=S)c2ccc(*)s2)s1,5.2424
*CC(=O)Cc1ccc(*)s1,6.0343
*CCCCCCC(=O)N*,6.5849
*COc1ccc(O*)cc1,5.8209
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.1853
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,5.5977
*Nc1ccc(Oc2ccc(*)s2)cc1,5.3817
*OC(=O)c1ccc(C(*)=O)s1,7.3658
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,5.9399
*Oc1ccc(OC(*)=O)s1,5.9838
*CNc1ccc(O*)cc1,5.1109
*NOC(=O)NCC(=O)NC(*)=O,8.0693
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,5.9851
*CC(=S)c1ccc(O*)cc1,5.926
*Cc1ccc(Cc2ccc(*)s2)cc1,5.5737
*COc1ccc(-c2ccc(*)cc2)s1,5.3253
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,6.3469
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.3092
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.6338
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,6.2808
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.9615
*CNC(=S)O*,6.2178
*NCCCNC(=O)NC(*)=O,6.8266
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,5.1795
*CC(=O)c1ccc(C(*)=S)cc1,6.4748
*OC(F)(F)C(=O)C(*)(F)F,8.7917
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,4.7302
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,5.4902
*NC(=O)c1ccc(C(*)=S)s1,6.1268
*c1ccc(CC(F)(F)C(*)(F)F)cc1,7.001
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,6.2671
*CCC(F)(F)C(*)(F)F,9.0178
*CCc1ccc(-c2ccc(*)s2)cc1,5.4079
*CC(=O)c1ccc(-c2ccc(*)s2)s1,5.6786
*Cc1ccc(CO*)s1,6.0202
*OC(=S)OC(*)=O,7.3548
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,5.8109
*CCc1ccc(-c2ccc(*)s2)s1,5.1709
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,6.113
*CCO*,7.0344
*OC(=O)C(=S)C(*)=O,7.4364
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,7.7091
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.5122
*c1ccc(CC(F)(F)C(*)(F)F)s1,6.8904
*CC(=O)NC(*)=O,5.8547
*CNOC(*)=S,6.7958
*CC(=S)C(=O)O*,6.5803
*C(F)C(*)(F)F,8.5986
*CC(=O)C(=S)O*,6.719
*CCc1ccc(C(*)=S)cc1,5.8549
*OC(=S)Oc1ccc(*)cc1,6.6287
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,4.9968
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,7.6583
*Nc1ccc(C(=O)O*)s1,6.0364
*Nc1ccc(*)cc1,4.9916
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,5.2303
*Nc1ccc(Nc2ccc(*)s2)s1,4.0261
*CC(=O)c1ccc(O*)s1,6.261
*OC(F)(F)NC(*)(F)F,9.067
*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,5.9175
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,5.8838
*NC(=O)OC(*)=S,7.661
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,7.268
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.896
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,3.5577
*NC(=O)C(=S)O*,7.7235
*CC(=O)c1ccc(C(*)=O)cc1,7.293
*CNC(=S)c1ccc(*)cc1,5.75
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,6.1599
*Cc1ccc(-c2ccc(N*)s2)s1,4.9311
*CCC(=O)O*,7.7853
*Cc1ccc(C(=O)C(*)=S)cc1,6.2998
*OC(=S)Oc1ccc(*)s1,6.1007
*NC(=S)NC(*)=S,7.0636
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,6.1434
*Nc1ccc(-c2ccc(C(*)=S)cc2)s1,5.6909
*OC(F)(F)C(=S)C(*)(F)F,7.385
*Nc1ccc(Oc2ccc(*)s2)s1,5.4925
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,5.1674
*CC(=S)c1ccc(C(*)=S)s1,4.932
*CC(=O)CC(*)=S,5.8877
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,4.852
*NC(=S)c1ccc(O*)cc1,5.884
*Cc1ccc(NO*)s1,5.1816
*C(=O)NC(F)(F)C(*)(F)F,8.3456
*C(=O)c1ccc(C(=O)C(*)=S)cc1,6.7765
*CCNc1ccc(*)s1,4.6632
*Cc1ccc(C(=O)O*)s1,6.8862
*C(=O)Oc1ccc(C(*)=S)s1,6.6347
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,6.383
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,5.8629
*OC(F)(F)CC(*)(F)F,9.6085
*NC(=S)C(=O)O*,6.5527
*CC(=O)c1ccc(C(*)=S)s1,6.3101
*CCCCCCNC(=S)Nc1ccc(NC(=S)N*)cc1,5.4552
*NC(F)(F)NC(*)(F)F,8.5631
*Cc1ccc(C(=S)O*)cc1,6.2737
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)s2)s1,6.7826
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,5.6689
*Cc1ccc(C(=O)c2ccc(*)s2)s1,6.3555
*COC(=O)O*,8.8314
*C(=S)C(=O)C(F)(F)C(*)(F)F,7.0732
*Oc1ccc(C(F)(F)C(*)(F)F)s1,6.8728
*CC(=S)c1ccc(C(*)=S)cc1,4.2727
*CNc1ccc(-c2ccc(*)s2)cc1,5.0179
*OC(=O)OC(*)=O,7.4502
*Cc1ccc(OC(*)=S)s1,6.155
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.7571
*OC(=S)c1ccc(C(*)=O)s1,6.7886
*c1ccc(*)s1,4.5257
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,5.7103
*COc1ccc(O*)s1,5.7358
*NC(=S)NO*,5.7438
*CCCCCS*,5.7733
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,5.6224
*CNCc1ccc(*)cc1,6.259
*CCOC(=O)c1ccc(C(=O)O*)cc1,7.1539
*CCOC(=O)NCCOCCOCCNC(=O)O*,7.1012
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,4.4871
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.7839
*Cc1ccc(C(=S)c2ccc(*)s2)s1,5.9541
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.4248
*Cc1ccc(Cc2ccc(*)s2)s1,5.797
*CCCc1ccc(*)s1,5.6976
*CC(=O)OC(*)=S,6.7464
*Cc1ccc(C(=O)C(*)=S)s1,6.4325
*NC(=O)NC(*)=S,7.159
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,5.182
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,7.5565
*NOC(=O)O*,7.9654
*CCOCCOC(=O)O*,7.5966
*Cc1ccc(CC(*)=S)s1,5.8858
*CNCC(*)=S,6.0922
*Cc1ccc(-c2ccc(N*)cc2)cc1,5.1363
*Cc1ccc(Oc2ccc(*)s2)cc1,5.631
*CC(=O)c1ccc(O*)cc1,6.5457
*CC(=O)NC(*)=S,5.8386
*NCNC(=O)OC(=O)NC(*)=O,8.0251
*NC(=O)Nc1ccc(*)s1,4.8361
*NC(=O)NC(*)=O,5.9087
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,5.7787
*NC(=O)c1ccc(C(*)=O)s1,7.093
*CONC(*)=O,7.3554
*CNc1ccc(-c2ccc(*)cc2)s1,5.4046
*CCCc1ccc(*)cc1,5.9933
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,7.1656
*NC(=O)c1ccc(O*)cc1,6.7472
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.2119
*CNC(=O)ONC(=O)NO*,7.4526
*OC(F)(F)c1ccc(C(*)(F)F)cc1,7.7355
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,6.6407
*CCOC(=S)NC(=S)c1ccc(N*)cc1,5.413
*Cc1ccc(-c2ccc(O*)s2)s1,5.2494
*C(=O)C(F)(F)NC(*)(F)F,8.5584
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,4.3893
*Cc1ccc(Oc2ccc(*)s2)s1,5.8606
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.7817
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,5.1123
*CCNc1ccc(*)cc1,4.8208
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,5.1637
*NC(=S)Nc1ccc(*)cc1,5.5113
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.9085
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.3793
*CC(=O)O*,8.2018
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,5.9845
*c1ccc(C(F)(F)NC(*)(F)F)cc1,7.2657
*CCCO*,6.904
*Cc1ccc(Nc2ccc(*)s2)s1,5.2507
*Nc1ccc(C(=O)O*)cc1,6.8988
*Oc1ccc(OC(*)=O)cc1,6.5915
*CCON*,4.8207
*Oc1ccc(CC(*)=O)cc1,6.3961
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.1678
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,5.8604
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,6.028
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,6.9673
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,6.0965
*Nc1ccc(OC(*)=S)cc1,5.9088
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.7769
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,6.4074
*CNc1ccc(N*)s1,4.8739
*c1ccc(*)cc1,5.0935
*CNCc1ccc(*)s1,5.8087
*CC(=S)CO*,5.5936
*C(=O)Oc1ccc(C(*)=S)cc1,6.6755
*CCc1ccc(O*)s1,5.5608
*NC(=O)Oc1ccc(*)cc1,5.9392
*c1cccc(*)n1,6.0452
*Oc1ccc(Oc2ccc(*)cc2)s1,5.9034
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,7.0438
*C(=O)c1ccc(Oc2ccc(*)s2)s1,6.3539
*NC(=O)C(=S)c1ccc(*)cc1,6.5245
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.9803
*NCC(F)(F)C(*)(F)F,8.2676
*Oc1ccc(Cc2ccc(*)cc2)cc1,6.1428
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,5.7225
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,5.643
*NOC(=S)O*,7.5682
*CNC(=O)NCOCO*,7.215
*Cc1ccc(Cc2ccc(*)cc2)cc1,6.2368
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,6.205
*NC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)s1,5.2813
*Cc1ccc(C(=S)O*)s1,6.4155
*CNCN*,6.0806
*NC(F)(F)CC(*)(F)F,8.5515
*CNc1ccc(C(*)=S)s1,5.3497
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,5.3242
*CCc1ccc(-c2ccc(*)cc2)cc1,5.6867
*CC(=O)Nc1ccc(*)cc1,5.8783
*CC(*)(F)F,8.1531
*Nc1ccc(OC(*)=S)s1,5.6596
*OC(F)(F)c1ccc(C(*)(F)F)s1,7.2935
*NC(=O)OC(*)=O,8.2121
*Cc1ccc(C*)cc1,6.2134
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,5.9294
*C(=O)c1ccc(OC(*)=S)cc1,6.7719
*CNCO*,6.4057
*c1ccc(NC(F)(F)C(*)(F)F)s1,5.871
*CC(=O)OC(*)=O,8.5901
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,6.4709
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,5.8475
*Nc1ccc(C(=O)c2ccc(*)s2)s1,5.2456
*Cc1ccc(OC(*)=S)cc1,6.2998
*CC(*)F,7.6332
*Cc1ccc(Nc2ccc(*)cc2)cc1,5.3392
*C(=O)C(F)(F)C(=O)C(*)(F)F,7.3587
*CNc1ccc(O*)s1,5.3042
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,5.3904
*OC(=S)C(F)(F)C(*)(F)F,7.093
*CNC(=O)c1ccc(*)s1,6.3237
*CC(=S)c1ccc(N*)cc1,5.6636
*NC(=O)Oc1ccc(*)s1,5.369
*CNOc1ccc(*)cc1,5.7444
*CC(*)C,6.185
*Oc1ccc(C(=S)c2ccc(*)s2)s1,6.0778
*Cc1ccc(C(=O)N*)cc1,6.8713
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,6.0589
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,7.4162
*CCCCCC(=O)O*,7.458
*CNCCCOCO*,6.3776
*CNc1ccc(N*)cc1,4.6919
*c1ccc(C(F)(F)CC(*)(F)F)cc1,7.0413
*CCCN*,5.8246
*CNc1ccc(C(*)=O)s1,5.431
*CC(O*)C(F)(F)F,7.9431
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,6.9837
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)s2)s1,5.8176
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,6.578
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.1679
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,5.6687
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.5837
*C(=S)C(F)(F)NC(*)(F)F,7.8892
*CCC(=O)c1ccc(*)cc1,6.8635
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,6.3228
*NC(=O)c1ccc(-c2ccc(*)cc2)s1,5.5458
*C(=S)CC(F)(F)C(*)(F)F,6.438
*CC(=O)CO*,6.97
*C(=S)C(F)(F)CC(*)(F)F,7.4545
*CC(=O)N*,7.2525
*Cc1ccc(NC(*)=S)s1,5.7769
*CC(=O)CC(*)=O,5.6663
*CCc1ccc(C(*)=S)s1,5.9475
*CC(=O)c1ccc(C(*)=O)s1,7.202
*CC(=S)NO*,5.6761
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.3929
*CC(=O)Cc1ccc(*)cc1,6.2518
*NC(=S)c1ccc(O*)s1,6.1012
*Nc1ccc(Oc2ccc(*)cc2)cc1,4.8032
*CCC(=S)O*,6.2041
*Nc1ccc(-c2ccc(C(*)=S)cc2)cc1,5.3872
*CC(=O)C(=S)c1ccc(*)cc1,6.263
*c1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(*)s4)cc3)s2)s1,5.6233
